date,is_tradeday,next_td
2016-01-01,True,2016-01-04
2016-01-02,False,
2016-01-03,False,
2016-01-04,True,2016-01-05
2016-01-05,True,2016-01-06
2016-01-06,True,2016-01-07
2016-01-07,True,2016-01-08
2016-01-08,True,2016-01-11
2016-01-09,False,
2016-01-10,False,
2016-01-11,True,2016-01-12
2016-01-12,True,2016-01-13
2016-01-13,True,2016-01-14
2016-01-14,True,2016-01-15
2016-01-15,True,2016-01-18
2016-01-16,False,
2016-01-17,False,
2016-01-18,True,2016-01-19
2016-01-19,True,2016-01-20
2016-01-20,True,2016-01-21
2016-01-21,True,2016-01-22
2016-01-22,True,2016-01-25
2016-01-23,False,
2016-01-24,False,
2016-01-25,True,2016-01-26
2016-01-26,True,2016-01-27
2016-01-27,True,2016-01-28
2016-01-28,True,2016-01-29
2016-01-29,True,2016-02-01
2016-01-30,False,
2016-01-31,False,
2016-02-01,True,2016-02-02
2016-02-02,True,2016-02-03
2016-02-03,True,2016-02-04
2016-02-04,True,2016-02-05
2016-02-05,True,2016-02-08
2016-02-06,False,
2016-02-07,False,
2016-02-08,True,2016-02-09
2016-02-09,True,2016-02-10
2016-02-10,True,2016-02-11
2016-02-11,True,2016-02-12
2016-02-12,True,2016-02-15
2016-02-13,False,
2016-02-14,False,
2016-02-15,True,2016-02-16
2016-02-16,True,2016-02-17
2016-02-17,True,2016-02-18
2016-02-18,True,2016-02-19
2016-02-19,True,2016-02-22
2016-02-20,False,
2016-02-21,False,
2016-02-22,True,2016-02-23
2016-02-23,True,2016-02-24
2016-02-24,True,2016-02-25
2016-02-25,True,2016-02-26
2016-02-26,True,2016-02-29
2016-02-27,False,
2016-02-28,False,
2016-02-29,True,2016-03-01
2016-03-01,True,2016-03-02
2016-03-02,True,2016-03-03
2016-03-03,True,2016-03-04
2016-03-04,True,2016-03-07
2016-03-05,False,
2016-03-06,False,
2016-03-07,True,2016-03-08
2016-03-08,True,2016-03-09
2016-03-09,True,2016-03-10
2016-03-10,True,2016-03-11
2016-03-11,True,2016-03-14
2016-03-12,False,
2016-03-13,False,
2016-03-14,True,2016-03-15
2016-03-15,True,2016-03-16
2016-03-16,True,2016-03-17
2016-03-17,True,2016-03-18
2016-03-18,True,2016-03-21
2016-03-19,False,
2016-03-20,False,
2016-03-21,True,2016-03-22
2016-03-22,True,2016-03-23
